Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	28
Lower Discriminator:	0
Calibration Coefficients:	-0.453146853146853	0.027972027972027972
Calibration Channels:	245	531
Calibration Energies:	6.4	14.4
Elapsed Real Time:	170.91
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 03:16:19
End Time:	February 08, 2024, 03:19:10
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
545	14.791608391608392	6
546	14.81958041958042	7
547	14.847552447552447	9
548	14.875524475524475	9
549	14.903496503496504	7
550	14.931468531468532	10
551	14.95944055944056	6
552	14.987412587412587	3
553	15.015384615384615	2
554	15.043356643356644	2
555	15.071328671328672	3
556	15.099300699300699	3
557	15.127272727272727	5
558	15.155244755244755	3
559	15.183216783216784	4
560	15.211188811188812	4
561	15.239160839160839	2
562	15.267132867132867	0
563	15.295104895104895	2
564	15.323076923076924	4
565	15.351048951048952	3
566	15.379020979020979	3
567	15.406993006993007	2
568	15.434965034965035	1
569	15.462937062937064	3
570	15.49090909090909	0
571	15.518881118881119	0
572	15.546853146853147	1
573	15.574825174825174	0
574	15.602797202797204	1
575	15.63076923076923	1
576	15.65874125874126	0
577	15.686713286713287	2
578	15.714685314685314	2
579	15.742657342657344	0
580	15.77062937062937	0
581	15.7986013986014	0
582	15.826573426573427	1
583	15.854545454545454	0
584	15.882517482517484	1
585	15.91048951048951	1
586	15.938461538461537	0
587	15.966433566433567	0
588	15.994405594405594	0
589	16.022377622377626	0
590	16.050349650349652	0
591	16.07832167832168	0
592	16.106293706293705	0
593	16.134265734265732	0
594	16.162237762237766	0
595	16.190209790209792	0
596	16.21818181818182	0
597	16.246153846153845	0
598	16.274125874125872	0
599	16.302097902097906	0
600	16.330069930069932	0
601	16.35804195804196	0
602	16.386013986013985	0
603	16.413986013986012	1
604	16.441958041958046	0
605	16.469930069930072	2
606	16.4979020979021	0
607	16.525874125874125	1
608	16.553846153846152	0
609	16.58181818181818	0
610	16.609790209790212	0
611	16.63776223776224	0
612	16.665734265734265	0
613	16.693706293706292	0
614	16.72167832167832	0
615	16.749650349650352	0
616	16.77762237762238	0
617	16.805594405594405	1
618	16.833566433566432	1
619	16.86153846153846	0
620	16.889510489510492	0
621	16.91748251748252	0
622	16.945454545454545	0
623	16.973426573426572	0
624	17.0013986013986	1
625	17.029370629370632	1
626	17.05734265734266	0
627	17.085314685314685	0
628	17.113286713286712	0
629	17.14125874125874	0
630	17.169230769230772	0
631	17.1972027972028	0
632	17.225174825174825	1
633	17.253146853146852	0
634	17.28111888111888	0
635	17.309090909090912	1
636	17.33706293706294	0
637	17.365034965034965	1
638	17.393006993006992	0
639	17.42097902097902	1
640	17.448951048951052	0
641	17.47692307692308	0
642	17.504895104895105	0
643	17.532867132867132	0
644	17.56083916083916	0
645	17.588811188811192	0
646	17.61678321678322	0
647	17.644755244755245	0
648	17.672727272727272	0
649	17.7006993006993	0
650	17.728671328671332	0
651	17.75664335664336	0
652	17.784615384615385	0
653	17.812587412587412	0
654	17.84055944055944	0
